구간,업무,비고,key
D-30 ~ D-25,수습기자 기본교육 일정을 작성하여 보고한다.,,task-113
D-30 ~ D-25,수습기자 기본교육 강사를 섭외한다.,,task-0
D-25 ~ D-20,교육 일정을 확정한다.,,task-1
D-25 ~ D-20,인사담당자로부터 수습기자 기본교육 신청서를 수령한다. (여행자보험 가입을 위해 주민등록번호 포함),,task-2
D-20 ~ D-10,섭외가 확정된 강사에게 안내 메일을 발송한다.,,task-3
D-20 ~ D-10,공문을 요구한 강사에게 공문품의서를 만들어서 안내 메일 발송 시 공문을 함께 발송한다.,,task-111
D-20 ~ D-10,공문을 요구하지 않은 강사 또한 팀 성과 지표 실적 증빙(협업 과정)을 위해 단체 공문품의서를 등록한다.,,task-112
D-7 ~ D-3,수습기자 기본교육 계획품의서를 작성하고 결재를 올린다.,,task-4
D-7 ~ D-3,수습기자 신청 공문을 취합해 결재 문서에 첨부한다.,,task-5
D-7 ~ D-3,업체에 안내 메일 발송을 요청하거나 예약 메일·SMS를 설정한다.,,task-6
D-7 ~ D-3,"인쇄·제작, 물품 제작, 물품 구매, 버스 임차, 숙박 관련 견적을 요청한다.",,task-7
D-7 ~ D-3,수강자와 인사담당자에게 수습기자 기본교육 안내 메일을 발송한다.,,task-8
D-7 ~ D-3,출석부를 제작한다.,,task-98
D-7 ~ D-3,인턴에게 참가자 명단을 전달하고 수강자 명패 제작을 요청한다.,,task-99
D-7 ~ D-3,인턴에게 교육 일정표와 출석부를 공유하고 강의실 세팅 준비를 요청한다.,,task-100
D-3,수습기자 기본교육 수강자 카카오톡방을 개설한다.,,task-10
D-3,"강의장을 세팅한다. (교재, 서적 2부 이상, 신문과방송, 협업기관 리플릿, 펜, 기자노트, 언론윤리헌장)",,task-11
D-3,수습기자 기본교육 안내 슬라이드와 언론윤리세미나 소개 슬라이드를 제작한다.,,task-12
D-3,수습기자 기본교육 좌석배치도와 언론윤리세미나 조 편성 자료를 제작한다.,,task-13
D-3,인턴에게 다과 구매를 요청한다.,,task-14
D-3,인턴에게 간식 세팅과 마이크 배터리 교체를 매일 진행해 달라고 요청한다.,,task-15
D-3,숙박비를 결제하거나 세금계산서 발행을 요청한다.,,task-16
D-3,1주차 식당을 예약한다. (최소 3일차~최대 5일차),,task-9
1일차,"수습기자 기본교육 오리엔테이션을 진행한다. (식사 안내, 수강 후기자 선정, 컴퓨터 사용일 공지, 현장교육 일정 공지, 세미나 자료 제출일 공지)",,task-23
1일차,수습기자 기본교육 안내 자료를 카카오톡방에 공유한다.,,task-24
1일차,수습기자 기본교육 이러닝 교육 링크를 카카오톡방에 공유한다.,,task-25
1일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-26
1일차,점심시간에 식사 장소로 인솔한다.,,task-27
1일차,간식은 제공하지 않는다.,,task-28
1일차,2일차 이후 식사 메뉴 선택을 카카오톡방에 안내한다. (약속 여부 문항 포함),,task-29
1일차,수강 후기 작성 대상자에게 안내 자료를 보내고 사례비 지급 동의서를 받는다.,,task-30
1일차,"언론윤리세미나를 안내한다. (내용 소개, 과거 발표자료 소개, 조별 유사 주제 지양)",,task-31
1일차,언론윤리세미나 안내 자료를 카카오톡방에 공유한다.,,task-32
1일차,언론윤리세미나 조별 조장과 주제를 확정해 카카오톡방에 공유한다.,,task-33
1일차,수강자의 MECA 가입 여부를 확인하고 승인한다.,,task-34
1일차,교육 종료 무렵 인사담당자에게 수강자 출결 상황을 안내한다.,,task-35
1일차,2일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-36
1일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-101
1일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-114
2일차(글쓰기 이론),교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-37
2일차(글쓰기 이론),글쓰기 교육 과제가 있는 경우 과제 내용을 확인해 카카오톡방에 공지한다.,,task-38
2일차(글쓰기 이론),점심식사 장소로 인솔한다.,,task-39
2일차(글쓰기 이론),간식을 주문한다.,,task-40
2일차(글쓰기 이론),3일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-41
2일차(글쓰기 이론),교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-102
2일차(글쓰기 이론),수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-115
3일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-42
3일차,점심식사 장소로 인솔한다.,,task-43
3일차,간식을 주문한다.,,task-44
3일차,단체 사진을 촬영한다. (3일차~5일차 중 1회),,task-45
3일차,4일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-46
3일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-103
3일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-116
4일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-47
4일차,점심식사 장소로 인솔한다.,,task-48
4일차,간식을 주문한다.,,task-49
4일차,5일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-50
4일차,2주차 식당을 예약한다. (최소 7일차~최대 10일차),,task-51
4일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-104
4일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-117
5일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-52
5일차,점심식사 장소로 인솔한다.,,task-53
5일차,간식을 주문한다.,,task-54
5일차,6일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-55
5일차,주말 과제 마감을 고려해 단체방에 과제 리마인드 공지를 올린다.,,task-56
5일차,서적·책자 일부를 챙겨갈 수 있도록 안내하고 쇼핑백을 배부한다.,,task-57
5일차,단체사진과 수료명단을 업체에 발송하고 샘플을 확정한다.,,task-58
5일차,"강의평가지를 제작해 인턴에게 전달하고, 10일차 인쇄·배부를 요청한다.",,task-59
5일차,중간 정산을 진행하고 정산서를 작성한다.,,task-60
5일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-105
5일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-118
6일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-61
6일차,점심식사 장소로 인솔한다.,,task-62
6일차,간식을 주문한다.,,task-63
6일차,7일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-64
6일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-106
6일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-119
7일차(글쓰기 실습),교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-65
7일차(글쓰기 실습),글쓰기 교육 경품 요청이 있었던 경우 경품을 사전에 준비한다.,,task-66
7일차(글쓰기 실습),점심식사 장소로 인솔한다.,,task-67
7일차(글쓰기 실습),간식을 주문한다.,,task-68
7일차(글쓰기 실습),8일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-69
7일차(글쓰기 실습),교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-107
7일차(글쓰기 실습),수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-120
8일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-70
8일차,점심식사 장소로 인솔한다.,,task-71
8일차,간식을 주문한다.,,task-72
8일차,현장교육 여행자보험에 가입한다.,,task-73
8일차,현장교육 임차버스 기사와 연락해 세부 일정을 협의한다.,,task-74
8일차,"현장교육 오리엔테이션을 진행한다. (진행 일정, 주의사항 등)",,task-75
8일차,수료증을 수령한다.,,task-76
8일차,거래명세서 발송을 요청한다.,,task-77
8일차,9일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-78
8일차,교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-108
8일차,수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-121
9일차(현장교육),교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-79
9일차(현장교육),점심식사 장소로 인솔한다.,,task-80
9일차(현장교육),간식을 주문한다.,,task-81
9일차(현장교육),10일차 식당에 연락해 인원과 메뉴를 확정한다.,,task-82
9일차(현장교육),교재에 누락된 강의자료가 있는 경우 추가 인쇄하여 배부한다.,,task-109
9일차(현장교육),수강생이 모두 퇴실한 후 강의실을 잠근다.,,task-122
10일차,교육 진행 시 사진 촬영 + 강사 차량 등록,3회 체크,task-84
10일차,점심식사 장소로 인솔한다.,,task-85
